,document,topic0,topic1,topic2
62,18|18,0.04721030042918455,0.04721030042918455,0.9055793991416309
63,18|42,0.6683417085427136,0.1658291457286432,0.1658291457286432
64,18|44,0.1658291457286432,0.6683417085427136,0.1658291457286432
65,18|58,0.11036789297658862,0.44481605351170567,0.44481605351170567
66,19|9,0.11036789297658862,0.11036789297658862,0.7792642140468227
67,19|31,0.11036789297658862,0.7792642140468227,0.11036789297658862
68,19|58,0.1658291457286432,0.6683417085427136,0.1658291457286432
69,19|67,0.08270676691729323,0.8345864661654135,0.08270676691729323
70,19|77,0.1658291457286432,0.6683417085427136,0.1658291457286432
71,20|9,0.6683417085427136,0.1658291457286432,0.1658291457286432
72,20|15,0.1658291457286432,0.1658291457286432,0.6683417085427136
73,20|32,0.38898163606010017,0.5559265442404007,0.05509181969949917
74,20|67,0.08270676691729323,0.3333333333333333,0.5839598997493735
75,20|68,0.1658291457286432,0.1658291457286432,0.6683417085427136
76,20|78,0.1658291457286432,0.6683417085427136,0.1658291457286432
77,21|5,0.1658291457286432,0.6683417085427136,0.1658291457286432
78,21|32,0.1658291457286432,0.6683417085427136,0.1658291457286432
79,21|49,0.1658291457286432,0.1658291457286432,0.6683417085427136
80,21|50,0.44481605351170567,0.11036789297658862,0.44481605351170567
81,21|51,0.6683417085427136,0.1658291457286432,0.1658291457286432
82,21|67,0.6683417085427136,0.1658291457286432,0.1658291457286432
83,22|10,0.04721030042918455,0.04721030042918455,0.9055793991416309
84,22|30,0.1658291457286432,0.1658291457286432,0.6683417085427136
85,22|34,0.44481605351170567,0.44481605351170567,0.11036789297658862
86,22|50,0.5839598997493735,0.3333333333333333,0.08270676691729323
87,22|51,0.04130162703379224,0.541927409261577,0.4167709637046308
88,22|52,0.03670745272525028,0.25917686318131256,0.7041156840934372
89,22|54,0.3333333333333333,0.3333333333333333,0.3333333333333333
90,22|62,0.1658291457286432,0.6683417085427136,0.1658291457286432
91,22|63,0.11036789297658862,0.11036789297658862,0.7792642140468227
92,22|78,0.6683417085427136,0.1658291457286432,0.1658291457286432
93,23|9,0.1658291457286432,0.6683417085427136,0.1658291457286432
94,24|0,0.1658291457286432,0.1658291457286432,0.6683417085427136
95,24|6,0.44481605351170567,0.44481605351170567,0.11036789297658862
96,24|7,0.1658291457286432,0.6683417085427136,0.1658291457286432
97,24|24,0.06613226452905811,0.06613226452905811,0.8677354709418837
98,24|26,0.1658291457286432,0.1658291457286432,0.6683417085427136
99,25|18,0.8677354709418837,0.06613226452905811,0.06613226452905811
100,25|19,0.2665330661322645,0.06613226452905811,0.6673346693386774
101,25|24,0.11036789297658862,0.11036789297658862,0.7792642140468227
102,25|54,0.03303303303303303,0.9339339339339339,0.03303303303303303
103,26|13,0.3333333333333333,0.5839598997493735,0.08270676691729323
104,26|26,0.1658291457286432,0.1658291457286432,0.6683417085427136
105,26|39,0.7228714524207012,0.22203672787979967,0.05509181969949917
106,26|40,0.6683417085427136,0.1658291457286432,0.1658291457286432
107,26|54,0.3333333333333333,0.5839598997493735,0.08270676691729323
108,27|14,0.1658291457286432,0.6683417085427136,0.1658291457286432
109,27|27,0.1658291457286432,0.1658291457286432,0.6683417085427136
110,27|55,0.1658291457286432,0.6683417085427136,0.1658291457286432
111,27|95,0.6683417085427136,0.1658291457286432,0.1658291457286432
112,28|94,0.1658291457286432,0.6683417085427136,0.1658291457286432
113,28|95,0.1658291457286432,0.6683417085427136,0.1658291457286432
114,29|26,0.1658291457286432,0.1658291457286432,0.6683417085427136
115,29|27,0.28885923949299536,0.6891260840560374,0.022014676450967312
116,29|28,0.7579617834394904,0.21201091901728844,0.030027297543221112
117,29|45,0.9173967459324155,0.04130162703379224,0.04130162703379224
118,29|51,0.11036789297658862,0.7792642140468227,0.11036789297658862
119,29|58,0.1658291457286432,0.1658291457286432,0.6683417085427136
120,30|3,0.5839598997493735,0.08270676691729323,0.3333333333333333
121,30|14,0.6673346693386774,0.2665330661322645,0.06613226452905811
122,30|17,0.06613226452905811,0.8677354709418837,0.06613226452905811
123,30|27,0.44481605351170567,0.11036789297658862,0.44481605351170567
124,30|91,0.5559265442404007,0.22203672787979967,0.22203672787979967
125,30|92,0.1658291457286432,0.6683417085427136,0.1658291457286432
126,31|7,0.1658291457286432,0.1658291457286432,0.6683417085427136
127,31|12,0.6683417085427136,0.1658291457286432,0.1658291457286432
128,31|26,0.1658291457286432,0.1658291457286432,0.6683417085427136
129,31|27,0.44481605351170567,0.11036789297658862,0.44481605351170567
130,31|31,0.1658291457286432,0.1658291457286432,0.6683417085427136
131,31|35,0.6683417085427136,0.1658291457286432,0.1658291457286432
132,31|90,0.6683417085427136,0.1658291457286432,0.1658291457286432
133,31|91,0.1658291457286432,0.6683417085427136,0.1658291457286432
134,32|21,0.3333333333333333,0.3333333333333333,0.3333333333333333
135,32|51,0.1658291457286432,0.6683417085427136,0.1658291457286432
136,33|8,0.7041156840934372,0.25917686318131256,0.03670745272525028
137,33|9,0.14794215795328142,0.14794215795328142,0.7041156840934372
138,33|10,0.1658291457286432,0.6683417085427136,0.1658291457286432
139,33|21,0.13313313313313313,0.8338338338338338,0.03303303303303303
140,33|22,0.1658291457286432,0.6683417085427136,0.1658291457286432
141,34|19,0.44481605351170567,0.44481605351170567,0.11036789297658862
